vd_id,vd_title,create_time,author_uid,author_nickname,enterprise_verify,likes,shares,collects,img_url
7486359547817315593,#3到6岁儿童益智早教动画 #少儿益智动漫推荐 #儿童动画 #玩具视频及玩具小故事 #亲子互动,2025-03-27 13:39:05,3406721284839603,智慧小喇叭,,4489,23,1649,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIfj5OsC5BAFedWIBIuRuPAHwtQgInsmDA9kET~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=R4F1rZs6vAGitpcuPE4Bj46ttiE%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150221E4CC71C8DBAA0100D690
7436282819061632313,#快来和我一起玩吧 #3到6岁儿童益智早教动画 #这个游戏很好玩 #解压小游戏 #这个太好玩了,2024-11-12 14:55:31,849278995018580,阿飞游戏队长,,13281,430,6274,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oQeDQ0O6EpECQeFwnQ8AL9vfyvk9CbAMlQEFRQ~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=kG64LORmR4%2FEE%2FM3bwtw4TniUh4%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150240DEE24EDCB58E61012ABC
7483919764037963066,#3到6岁儿童益智早教动画 #亲子互动 #儿童启蒙早教益智动画片 #搞笑视频 #益智玩具,2025-03-20 23:51:17,7478922480154936379,成功,,26286,185,10145,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oQLLuymPuAT3JfLBIbwHW7cC8f4eQsMLBsCgQG~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=KrLkjrh67Or8Z%2Fmcvh0ARIUdF%2FU%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150250327FCBD2A130EB011CEE
7449389257363393827,#动画片 #艾莎 #白雪公主 #0到3岁早教启蒙动画片推荐 #女孩爱看的公主视频,2024-12-18 07:00:00,4251138162690620,莎莎小公主,,59,2,34,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oosOfTcQUAzzE7YDAQFYwGaDefVQcDxEBBCbDQ~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=kPHNZ1eWokXZ0vQqFH7jFlu2CV0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150326ADF64119D5E63300F678
7484774667836853543,#益智动画 #0到3岁早教启蒙动画片推荐 #启蒙早教 #亲子互动 #儿童动画,2025-03-23 07:09:08,1660684085501504,遥遥益智动画,,822,18,317,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4ufO9LEdm9HCQyQABFnAQmDgONi6ATxf03Aan~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=B7zdePRWAtuVeOmBs0a1X0NeAe0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150344F57E3B2730351E01007A
7445650954000616719,爱沙公主送礼物#儿童启蒙早教益智动画片 #0到3岁早教启蒙动画片推荐 #内容启发搜索 #早教启蒙益智动画 #原创动画,2024-12-07 20:48:38,1948802595173583,彤彤动漫,,74,0,36,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/owSARJgwIOCQQ4CPU1iIBhIF0PRDiAZwRAATB~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=nClgpUomLuV07k35NdZQ%2BlOwSSc%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150357EB133C52FDB5B8011FE1
7444499825825008935,#3到6岁儿童动画片 #爱莎公主 #儿童动画,2024-12-04 18:21:36,3446288429097785,融融,,6366,216,3549,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oUFRA4OxA1AiP2LGtPPDAQVPBZIKIOIwTCViQ~noop.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=feGCtQqhxPzHssVtUi4njYTcho0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=2025040815041007952B9455011200ED15
7453869444289334537,小艾莎还是个小孩子，而且弟弟比较欠，但是小艾莎决定尽量让着弟弟 ，加油哦#儿童动画 #艾莎 #爱莎公主,2024-12-30 16:20:00,1036169496507995,狂徒,,15,0,11,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osefxZNABBCIBfAbUoGLEOIt4IL15d7JuL2BNE~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=l2hEioWYWtmRfdpmvmD64NcAaAg%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150429E66B543A12FD570165D1
7401329038603685155,艾莎公主有危险谁能帮帮她#艾莎 #儿童动画 #治愈系,2024-08-10 10:16:57,1060359903123916,儿歌早教0—3岁,,17720,1107,7568,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocq2KeAQgzYA20rvzpEziazNdefC2DBWQzZe42~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=8Bx4jha76NdsRM%2Fg6kPEdCfBDlw%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150442BDB8BDA54CCD25012E34
7292565953718553883,剪纸动画：艾莎在公主聚会突然晕倒，公主们能找到原因救醒她吗？ #动画 #剪纸动画 #换装 #儿童 #手工   ,2023-10-22 08:00:00,4473240619325182,咕咚动画,,16579,806,7334,https://p3-pc-sign.douyinpic.com/tos-cn-p-0004/260f4e2bf6bc4cab964e202762e4ea18_1697849959~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=ukWMbX5F%2Bxy1qtgiO6QXMdJkPNo%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504081504579DDA9D3D2965CA00CD96
7439166840217144603,艾莎公主游泳😃😃。#艾莎公主 #儿童动画片0-3岁益智 #儿童启蒙早教益智动画片 #3-6岁儿童动画视频 #启蒙早教,2024-11-20 09:27:03,3191260467963995,柚甜百货,店铺账号,1246,32,520,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/o4pAunAAQiUEACDAzzxheWgA1iEsfAmBI9OsMN~noop.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=21y4WupuiN4bsQclpRsDfIC32pw%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=202504081505111840D11CE117A301038E
7425549280758304015,小艾莎公主不喜欢洗脚，这是不对的哦#艾莎 #儿童益智早教 #动画小故事 #儿童动画片0-3岁益智 #睡前故事,2024-10-14 16:43:50,2980137276292304,慕雪百货,店铺账号,11668,205,4189,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMmCAcufAMCziAAwEyVKe2bBgigAC0AMLBhtIA~noop.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=ayPRMFzzBy3ZnufaQ3XFLg82fGU%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=20250408150528C3860F21104D8F012317
7455141386585722149,#启蒙益智玩具 #动画视频 #儿童动漫 #早教启蒙益智动画 #3到6岁儿童益智早教动画,2025-01-02 10:36:49,4062022357757593,小火腿王,,3959,21,1623,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4ir10uEvi7tCQMQQCFOAejDASGOkB98ff6Bzr~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=6piGdSvokPTvG0Y6r27irJeNHTs%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504081505403961802DE77875012C45
7479706735452687676,#小猪佩奇,2025-03-09 15:22:21,110277629492,粉色小猪宝,,962,25,448,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/o4nIaue8EDQzIe6NVIFHwGIE9A24AYYfAqCnWU~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=nAg6aNIjvHfsQytDa6YaXPPF50E%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504081505538C16BEC1988355014885
7457441839398833418,#动画视频 #童年动画#儿童动画片小视频 #动画小短片0-3岁儿童 #3-6岁儿童动画片大全 #小宝宝看的动画片,2025-01-08 15:23:18,82384810231,云醉月,,251,15,119,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oELEqTo9Q2zBaHfCt8ADfB67a4AFD3iA8xeOQI~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=XotlUWKFrwnb1yGEOmOjR%2FQJhx0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150606F874C8B3A9812F00EDC1
7462162232344988988,#启蒙 #儿童启蒙早教益智动画片 #早教启蒙益智动画 #启蒙动画 #启蒙早教,2025-01-21 08:41:12,3982877637743216,小小新,,2337,26,1003,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/o0UyBf7TDEanF14A1OE7unISjCeIALfw649SzA~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=lS0L1C6INt%2Ffc3WtDkqv3ybaf5E%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150617ABEEC92972735A01439B
7467766669218254121,#儿童早教动画片推荐 #3到6岁儿童益智早教动画 #儿童启蒙早教益智动画片 #早教启蒙益智动画 #亲子互动,2025-02-05 11:09:22,2091718406839771,小新卖蜡笔,,10205,99,3843,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEBAIlMmgwiL7GCLsAx14iAQidZvBJINWi6IP~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=%2B%2BFGuo90XK18RjbFDj7MHnWz40M%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150629249A0F1E9254A3012E6F
7482661874861870394,#小猪佩奇,2025-03-17 14:29:55,110277629492,粉色小猪宝,,1911,35,908,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oQY4UkBWIiABIOC67AieTwALE6fqveRXz6WrwS~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=u%2BIr4bQWelyzonFwODqNWDrxq8Q%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150649BFFB5832F24ABB018542
7461636746078457126,橱窗卖军火#动画 #童年动画 #动画片 #儿童动画 #动画短片,2025-01-19 22:41:59,1432034365944688,饺子和布莱恩（橱窗有军火）,,141566,38630,3146,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/okm9BigUIknBSxAzIBNU6NiJ7jmHDAfQ1yAgeQ~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=J1AODXqZeh%2B9utvomRcuNZ7WsV0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150700F5FA03446C6F34018553
7466360089520131355,#小猪佩奇 #内容启发搜索,2025-02-01 16:10:55,110277629492,粉色小猪宝,,3325,61,1441,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owvAIiWIAQAdio7Fa1PxWZI1o2B5IJWT2B33o~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=B8xEM07Qp8EoANlKdzF1vs%2B1G%2Bo%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150714F2E1567FFEC5A2011ECA
7485463744651300108,#早教动画 #动画短片0-6岁 #小孩子动画片0-3岁 #今天你笑了吗 #动画片0-6岁儿童动画片,2025-03-25 03:47:04,473256433037913,小美好物分享,,2603,47,1255,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oEenZAdGA1II3Bsz1GCii1zeIB5vwNDhogBtAi~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=TmKZ5X%2BcLDKgmkAIK6r0oT5aFO4%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504081507250EEC71F9454DEB012735
7485302055922437435,#动画#儿童动画 #原创动画 #超级宝贝jojo,2025-03-24 17:15:07,978987599015436,小洋洋动话,,6223,50,2618,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oUCZeZBIeLEPidv8hwjWewhiBk8iIAzpEIwApU~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=u%2FpnU2kkKss0bVpA3pb%2BKM21Hp8%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504081507372B18546AEA9A9A0183AE
7487172926249143592,哪吒 #儿童动画 #二次元 #动画 #哪吒,2025-03-30 11:20:00,2491914161750499,奥特曼大玩家,,17719,290,8633,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIkAeE4DgtnBUhlFfqn9ADAqQzP7h5Q78SY3tC~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745305200&x-signature=DCH6L%2BWpVCpHOeSzwraARgvyr%2Fw%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250408150750447E905BAF75F6019C60
