vd_id,vd_title,create_time,author_uid,author_nickname,enterprise_verify,likes,shares,collects,img_url
7462304269652282681,#爱莎公主#儿童益智早教动画片#3-6岁儿童益智动画#0-3岁儿童早教动画片#亲子动漫,2025-01-21 17:52:09,7461825941392999481,艾莎8,,167,4,71,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/o8AJEJ1eSaPgeCeoGYGtLghr8H37IsLgyr6BA9~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=lokbxr4aiIQobwvMT3TTN5xA76o%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131130049AC6FB1416DB1F37C9CC
7490071193530289447,#原创视频 #搞笑动画 #创作者扶持计划 #奥特曼儿童动画片 #奥特曼3-6岁儿童画片,2025-04-06 13:42:07,2777784136774948,晶晶动漫,,2522,24,1226,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oMuDyAMWCEBmyIIPr5LeBCAKrFuxbfIZ7iGfBP~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=7iOmO4Q1EZEFe1VBykfQwvB8HI0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=2025041311303394727C84D9E55B38A54A
7479999480595631371,#益智动画 #卡通动漫 #动画视频 #动画儿童 #3到6岁儿童益智早教动画,2025-03-10 10:18:44,2777784136774948,晶晶动漫,,1524,9,556,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIefolsWHeGOqcJIwmLfjQtAEghhQAICS8CQfA~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=xLCTj4nURpvyj9cU6FCGEga0Sk0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131130436BF02696E5AEA4370A49
7490381420196597028,#原创视频 #创作者扶持计划 #搞笑动画 #涨知识 #原创作品,2025-04-07 09:45:54,2777784136774948,晶晶动漫,,42,2,15,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8BmKjgQE2DA8CgFyoB3nnX4yDDA9ADWQeKrfZ~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=HioSGJJTCSUpuCGuugzxlMwe7BU%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131130569DFD5994A51E66392A2B
7484773365257899323,#小孩子看的儿童视频,2025-03-23 07:03:45,4194013235907243,奥特曼不睡觉,,15189,28,1400,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c000-ce/ogGEkQ7bIN7Ae53ExfuDfES9G7AFAA0wA9VnQa~noop.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=yRs3csB%2BTO5e%2FKfzAvZzDW%2F%2BJek%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=20250413113119CB623D6528B9C73752E3
7459047578575899904,#奥特曼儿童动画片 #3到6岁儿童益智早教动画 #儿童动漫 #动画视频 #儿童爱看的抖音,2025-01-12 23:14:59,2714008667569016,奥特小宝贝,,55379,918,10703,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/oMO9iDgFQANwL0AA3AuEfYxACIE9gAF9nHCZOf~noop.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=O5U%2FEgFvu0wexv8lIEfWIVgPrZc%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=202504131131326A7ED57915DD4C371EB3
7484477140147195194,"儿童睡前故事《贪吃辣条的严重后果》
朵朵儿童睡前故事：儿童行为习惯养成—《贪吃辣条的严重后果》
#儿童睡前故事 #哄睡 #绘本 #吃辣条的宝宝 #启蒙早教",2025-03-22 11:54:00,332515661592042,朵朵儿童睡前故事（可教学）,,1953,466,1380,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oANH1LIPIQmQAoeeMeeeuiHAZKgreGhiMDWFXU~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=A6SvvvL328oKzlKHDFrR8J7V108%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=2025041311320219E45BE0FA743638E44A
7480523712417090875,"儿童睡前故事《贪吃糖果的后果》
#儿童故事 #儿童睡前故事 #绘本动画 #3-6岁儿童睡前故事推荐 #早教启蒙",2025-03-11 20:12:39,332515661592042,朵朵儿童睡前故事（可教学）,,215,51,120,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oMlUEAfDeQzE9mnAAKvIL0tCQCLAiEieFDhIQw~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=mlIuxqQyyiBk1ukoP523STPNFKI%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=2025041311321359CB1710D3E6553827DE
7489864521599831347,#搞笑 #看一遍笑一遍 #亲子互动 #欢乐时刻 #3到6岁儿童益智早教动画,2025-04-06 00:20:27,7425894979920757817,夏淳淳38,,5327,269,3134,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/osq9aLGX7BBCPQFlvxIQCxCAWCfAFPeb4Peg9L~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=qxSlOQQhKfv8AjyP2mlAimGMHAA%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=2025041311322559076E37BD4DB037D3F7
7456403744087919926,#儿童动画 #儿童玩具 #3到6岁儿童益智早教动画 #儿童益智玩具 #早教益智玩具,2025-01-05 20:15:10,3094452167257113,小瑞瑞,,3553,30,1316,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o4B5yQQAEEAFwEn7re7zhefZsdDgBCVQHD6Oo0~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745722800&x-signature=I1cDQJP8tB%2B2RiIl7Es8vLTz9g8%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131132377E6B22ED47F09F37B334
